id,symbol,ticker,name
opendoor-technologies-ondo-tokenized,openon,OPEN,Opendoor Technologies (Ondo Tokenized)
deere-ondo-tokenized-stocks,deon,DE,Deere
union-pacific-corporation-ondo-tokenized,unpon,UNP,Union Pacific Corporation (Ondo Tokenized)
global-x-us-infrastructure-development-etf-ondo-tokenized,paveon,PAVE,Global X US Infrastructure Development ETF (Ondo Tokenized)
abrdn-physical-precious-metals-basket-shares-etf-ondo-tokenized,gltron,GLTR,abrdn Physical Precious Metals Basket Shares ETF (Ondo Tokenized)
johnson-johnson-ondo-tokenized-stock,jnjon,JNJ,Johnson & Johnson
southern-ondo-tokenized-stock,soon,SO,Southern
ishares-us-aerospace-and-defense-etf-ondo-tokenized,itaon,ITA,iShares US Aerospace and Defense ETF (Ondo Tokenized)
wisdomtree-us-quality-dividend-growth-fund-ondo-tokenized,dgrwon,DGRW,WisdomTree US Quality Dividend Growth Fund (Ondo Tokenized)
american-airlines-group-ondo-tokenized-stocks,aalon,AAL,American Airlines Group
northrop-grumman-ondo-tokenized,nocon,NOC,Northrop Grumman (Ondo Tokenized)
ishares-msci-chile-etf-ondo-tokenized,echon,ECH,iShares MSCI Chile ETF (Ondo Tokenized)
vinfast-auto-ondo-tokenized,vfson,VFS,VinFast Auto (Ondo Tokenized)
bank-of-america-ondo-tokenized-stocks,bacon,BAC,Bank of America
ishares-msci-japan-etf-ondo-tokenized,ewjon,EWJ,iShares MSCI Japan ETF (Ondo Tokenized)
enlivex-therapeutics-ondo-tokenized,enlvon,ENLV,Enlivex Therapeutics (Ondo Tokenized)
cipher-mining-ondo-tokenized-stock,cifron,CIFR,Cipher Mining
talen-energy-ondo-tokenized-stock,tlnon,TLN,Talen Energy
lowe-s-ondo-tokenized,lowon,LOW,Lowe's (Ondo Tokenized)
b2gold-ondo-tokenized-stocks,btgon,BTG,B2Gold
netease-ondo-tokenized,nteson,NTES,NetEase (Ondo Tokenized)
merck-ondo-tokenized,mrkon,MRK,Merck (Ondo Tokenized)
atnt-ondo-tokenized-stock,ton,T,AT&T
thermo-fisher-scientific-ondo-tokenized-stock,tmoon,TMO,Thermo Fisher Scientific
carvana-ondo-tokenized-stocks,cvnaon,CVNA,Carvana
citigroup-ondo-tokenized-stock,con,C,Citigroup
block-ondo-tokenized-stocks,xyzon,XYZ,Block
capital-one-ondo-tokenized-stock,cofon,COF,Capital One
mastec-ondo-tokenized,mtzon,MTZ,MasTec (Ondo Tokenized)
ishares-7-10-year-treasury-bond-etf-ondo-tokenized,iefon,IEF,iShares 7-10 Year Treasury Bond ETF (Ondo Tokenized)
abrdn-physical-platinum-shares-etf-ondo-tokenized,pplton,PPLT,abrdn Physical Platinum Shares ETF (Ondo Tokenized)
vanguard-real-estate-etf-ondo-tokenized,vnqon,VNQ,Vanguard Real Estate ETF (Ondo Tokenized)
exodus-movement-ondo-tokenized,exodon,EXOD,Exodus Movement (Ondo Tokenized)
albemarle-ondo-tokenized,albon,ALB,Albemarle (Ondo Tokenized)
pg-e-ondo-tokenized,pcgon,PCG,PG&E (Ondo Tokenized)
